cvegeo,intralinks,size,grado,fuerza,longitude,latitude
1503700710670,97.0,317,200,323,-99.27604891536467,19.422032710753797
1505700010160,21.0,189,70,90,-99.2544745798726,19.489662374941005
1505700010372,357.0,548,308,1753,-99.25387796020783,19.452356664679254
1505700010813,21.0,261,133,245,-99.2679255398946,19.45370882988495
1505700012472,1.0,22,9,9,-99.23047265488628,19.45491058999776
150580001126A,129.0,320,148,247,-99.02554818484646,19.390973795152256
1506000011304,0.0,0,0,0,-99.29026193942974,19.640202821609776
1508100040560,"",8,6,8,-98.99467258821338,19.775920229889955
1508100090382,"",33,41,48,-98.95925266974015,19.67272968665793
1510400010872,14.0,88,52,80,-99.18977020511875,19.523836944807364
1510602334460,"",9,28,28,-99.5905711946457,19.30986359007079
1510900031275,44.0,178,77,162,-99.16648171527568,19.586675624906334
0900300010605,47.0,200,99,165,-99.11286238491275,19.332713485217063
0900300011340,4.0,82,38,50,-99.12170569981933,19.315478199763287
090040001041A,34.0,198,101,166,-99.28105791036685,19.37048393025536
0900500010845,54.0,306,124,453,-99.08423320987444,19.500244674917248
0900500011190,64.0,201,92,263,-99.08283503961025,19.49345499467165
0900500012733,21.0,129,58,91,-99.13079639017812,19.56173784511425
0900600010490,89.0,180,87,206,-99.08580123953887,19.39457003005461
090070001091A,10.0,66,27,29,-99.12621828501463,19.36071121521685
0900700013153,34.0,135,108,177,-98.98274514512794,19.34064051004612
0900700015003,32.0,141,123,248,-99.02731203477046,19.34131128499521
0900700015249,60.0,162,84,197,-99.08475004021594,19.32719005976162
0900700015338,15.0,161,184,267,-99.01311603013727,19.32920472241802
0900800010052,9.0,148,58,60,-99.22246697517807,19.33037911575689
0900800010226,1664.0,295,173,1954,-99.24989688974466,19.310998710067004
090090524,26.0,81,79,114,-99.07305327117692,19.203413369820723
0901000010328,3942.0,560,323,5931,-99.23606870037555,19.381660010078697
0901100010132,19.0,211,72,115,-99.02016840895217,19.29025176006776
0901200261674,29.0,197,137,638,-99.20830877998259,19.229250590829082
090121246,22.0,162,151,282,-99.17520480714298,19.210319094601637
0901400010149,21.0,183,162,507,-99.13561283985416,19.396922250251826
1305100961700,"",14,5,5,-98.77064398170086,20.054881020519964
130510139208A,"",3,1,1,-98.72984659895224,20.06334034146238
1306900420622,0.0,0,0,0,-98.93694053665257,19.880228685753284
1500200150567,25.0,105,47,91,-98.98874788565729,19.5933426698412
1503100010978,"",16,20,31,-98.94347461473228,19.38895965496627
1503300012485,"",16,30,41,-98.99719416006438,19.63128885508317
150330001441A,4.0,48,50,75,-99.06546300515787,19.640520685167004
150390001196A,"",38,49,59,-98.90026715529103,19.296294485208055
150450206,"",21,23,32,-99.50060594505533,19.977168654890434
1506000821183,"",9,3,3,-99.35664780479541,19.617132085041092
1506200010175,"",13,17,18,-99.47065476021064,19.277401349570102
15079005A,"",13,5,8,-99.49971425980226,20.030850085072228
1508100190109,"",73,60,74,-99.02569588481037,19.667954752042586
1509500010405,0.0,0,0,0,-99.23285243010608,19.731558519970633
1509500010481,"",3,2,2,-99.20223269954874,19.74001265354282
1509900331703,"",12,4,4,-98.84825454328904,19.510631675235373
1510400011673,16.0,100,13,13,-99.09925086006925,19.53092930028034
151060083170A,"",2,1,1,-99.64453364477367,19.363400034861666
1702600010055,"",2,5,5,-98.98055255998852,18.95817885516817
090030001143A,21.0,156,45,50,-99.11942078013027,19.309288190191374
0900500010972,153.0,201,143,250,-99.1153203000368,19.494875354987595
0900500011345,102.0,256,129,391,-99.07654019999288,19.486748870236273
0900700012155,63.0,150,93,132,-99.07159131504412,19.302016529900527
0900700015342,42.0,165,92,190,-99.00725822525665,19.33204894491223
0901100010359,41.0,109,39,67,-99.00630527485191,19.27892349012916
0901200010888,71.0,246,194,335,-99.19948182017112,19.283777845086085
0901300010599,10.0,78,26,34,-99.12540515520394,19.235453545269102
0901300011474,1.0,26,17,20,-99.10642651413043,19.20080010070067
0901600011349,67.0,305,151,296,-99.19328258005041,19.44833999489344
0901700010846,59.0,150,84,152,-99.069786366019,19.426075921728252
1500200150196,"",11,7,14,-98.90211888501187,19.610268730244663
1501100010180,"",3,42,53,-98.91301920283671,19.56656273626203
150130001179A,28.0,44,25,49,-99.25363519510641,19.592867895221215
1503100010906,53.0,113,35,59,-98.96373733806938,19.39605257689522
1503300010667,18.0,96,34,58,-99.05855391497323,19.53688010042002
1503300013500,89.0,211,136,281,-99.03664952993748,19.55637596013678
1503300014462,18.0,30,34,92,-99.05369513038684,19.63651886574366
1503300014585,8.0,21,8,27,-99.07327035992482,19.619760270299693
150350019013A,"",15,15,19,-99.18060038923329,19.82020537509932
1503600080226,"",5,14,21,-98.97944262985148,19.92634670995256
1504500010511,"",2,7,7,-99.52355389705019,19.973423734208335
1505000010102,"",6,23,27,-98.87474800007766,19.10119740035138
150510148,4.0,73,194,311,-99.44343072993834,19.40296227507264
1505300010138,"",10,9,9,-99.12868381503057,19.71597740109398
1505800011556,31.0,267,114,182,-98.98415843984107,19.401796430125643
1508100190128,3.0,49,51,71,-99.02846065997397,19.680204739965333
1512000010325,"",7,10,14,-99.10887148958363,19.778039254914166
